maximum number of tiles in grid [#],GLOBE size [B],GLOBE+GSHHG size [B],GLOBE+NE size [B],GSHHG size [B],NE size [B],"OS Terrain 50" size [B],total size [B]
235,14645512,29772773,20412527,1188085,1621876,0,67640773
236,14645512,29772773,20412527,1188085,1621876,0,67640773
237,14645512,29772773,20412527,1188085,1621876,0,67640773
238,14645512,29772773,20412527,1188085,1621876,0,67640773
239,14645512,29772773,20412527,1188085,1621876,0,67640773
240,14645512,29772773,20412527,1188085,1621876,0,67640773
241,14645512,29772773,20412527,1188085,1621876,0,67640773
242,14645512,29772773,20412527,1188085,1621876,0,67640773
243,14645512,29772773,20412527,1188085,1621876,0,67640773
244,14645512,29772773,20412527,1188085,1621876,0,67640773
245,14645512,29772773,20412527,1188085,1621876,0,67640773
246,14645512,29772773,20412527,1188085,1621876,0,67640773
247,14645512,29772773,20412527,1188085,1621876,0,67640773
248,14645512,29772773,20412527,1188085,1621876,0,67640773
249,14645512,29772773,20412527,1188085,1621876,0,67640773
250,14645512,29772773,20412527,1188085,1621876,0,67640773
251,14645512,29772773,20412527,1188085,1621876,0,67640773
252,14645512,29772773,20412527,1188085,1621876,0,67640773
253,14645512,29772773,20412527,1188085,1621876,0,67640773
254,14645512,29772773,20412527,1188085,1621876,0,67640773
255,14645512,29772773,20412527,1188085,1621876,0,67640773
256,14645512,29772773,20412527,1188085,1621876,0,67640773
257,14645512,29772773,20412527,1188085,1621876,0,67640773
258,14645512,29772773,20412527,1188085,1621876,0,67640773
259,14645512,29772773,20412527,1188085,1621876,0,67640773
260,14645512,29772773,20412527,1188085,1621876,0,67640773
261,14645512,29772773,20412527,1188085,1621876,0,67640773
262,14645512,29772773,20412527,1188085,1621876,0,67640773
263,14645512,29772773,20412527,1188085,1621876,0,67640773
264,14645512,29772773,20412527,1188085,1621876,0,67640773
265,14645512,29772773,20412527,1188085,1621876,0,67640773
266,14645512,29772773,20412527,1188085,1621876,0,67640773
267,14645512,29772773,20412527,1188085,1621876,0,67640773
268,14645512,29772773,20412527,1188085,1621876,0,67640773
269,14645512,29772773,20412527,1188085,1621876,0,67640773
270,14645512,29772773,20412527,1188085,1621876,0,67640773
271,14645512,29772773,20412527,1188085,1621876,0,67640773
272,14645512,29772773,20412527,1188085,1621876,0,67640773
273,14645512,29772773,20412527,1188085,1621876,0,67640773
274,14645512,29772773,20412527,1188085,1621876,0,67640773
275,14645512,29772773,20412527,1188085,1621876,0,67640773
276,14645512,29772773,20412527,1188085,1621876,0,67640773
277,14645512,29772773,20412527,1188085,1621876,0,67640773
278,14645512,29772773,20412527,1188085,1621876,0,67640773
279,14645512,29772773,20412527,1188085,1621876,0,67640773
280,14645512,29772773,20412527,1188085,1621876,0,67640773
281,14645512,29772773,20412527,1188085,1621876,0,67640773
282,14645512,29772773,20412527,1188085,1621876,0,67640773
283,14645512,29772773,20412527,1188085,1621876,0,67640773
284,14645512,29772773,20412527,1188085,1621876,0,67640773
285,14645512,29772773,20412527,1188085,1621876,0,67640773
286,14645512,29772773,20412527,1188085,1621876,0,67640773
287,14645512,29772773,20412527,1188085,1621876,0,67640773
288,14645512,29772773,20412527,1188085,1621876,0,67640773
289,14645512,29772773,20412527,1188085,1621876,0,67640773
290,14645512,29772773,20412527,1188085,1621876,0,67640773
291,14645512,29772773,20412527,1188085,1621876,0,67640773
292,14645512,29772773,20412527,1188085,1621876,0,67640773
293,14645512,29772773,20412527,1188085,1621876,0,67640773
294,14645512,29772773,20412527,1188085,1621876,0,67640773
295,14645512,29772773,20412527,1188085,1621876,0,67640773
296,14645512,29772773,20412527,1188085,1621876,0,67640773
297,14645512,29772773,20412527,1188085,1621876,0,67640773
298,14645512,29772773,20412527,1188085,1621876,0,67640773
299,14645512,29772773,20412527,1188085,1621876,0,67640773
300,14645512,29772773,20412527,1188085,1621876,0,67640773
301,14645512,29772773,20412527,1188085,1621876,0,67640773
302,14645512,29772773,20412527,1188085,1621876,0,67640773
303,14645512,29772773,20412527,1188085,1621876,0,67640773
304,14645512,29772773,20412527,1188085,1621876,0,67640773
305,14645512,29772773,20412527,1188085,1621876,0,67640773
306,14645512,29772773,20412527,1188085,1621876,0,67640773
307,14645512,29772773,20412527,1188085,1621876,0,67640773
308,14645512,29772773,20412527,1188085,1621876,0,67640773
309,14645512,29772773,20412527,1188085,1621876,0,67640773
310,14645512,29772773,20412527,1188085,1621876,0,67640773
311,14645512,29772773,20412527,1188085,1621876,0,67640773
312,14645512,29772773,20412527,1188085,1621876,0,67640773
313,14645512,29772773,20412527,1188085,1621876,0,67640773
314,14645512,29772773,20412527,1188085,1621876,0,67640773
315,14645512,29772773,20412527,1188085,1621876,0,67640773
316,14645512,29772773,20412527,1188085,1621876,0,67640773
317,14645512,29772773,20412527,1188085,1621876,0,67640773
318,14645512,29772773,20412527,1188085,1621876,0,67640773
319,14645512,29772773,20412527,1188085,1621876,0,67640773
320,14645512,29772773,20412527,1188085,1621876,0,67640773
321,14645512,29772773,20412527,1188085,1621876,0,67640773
322,14645512,29772773,20412527,1188085,1621876,0,67640773
323,14645512,29772773,20412527,1188085,1621876,0,67640773
324,14645512,29772773,20412527,1188085,1621876,0,67640773
325,14645512,29772773,20412527,1188085,1621876,0,67640773
326,14645512,29772773,20412527,1188085,1621876,0,67640773
327,14645512,29772773,20412527,1188085,1621876,0,67640773
328,14645512,29772773,20412527,1188085,1621876,0,67640773
329,14645512,29772773,20412527,1188085,1621876,0,67640773
330,14645512,29772773,20412527,1188085,1621876,0,67640773
331,14645512,29772773,20412527,1188085,1621876,0,67640773
332,14645512,29772773,20412527,1188085,1621876,0,67640773
333,14645512,29772773,20412527,1188085,1621876,0,67640773
334,14645512,29772773,20412527,1188085,1621876,0,67640773
335,14645512,29772773,20412527,1188085,1621876,0,67640773
336,14645512,29772773,20412527,1188085,1621876,0,67640773
337,14645512,29772773,20412527,1188085,1621876,0,67640773
338,14645512,29772773,20412527,1188085,1621876,0,67640773
339,14645512,29772773,20412527,1188085,1621876,0,67640773
340,14645512,29772773,20412527,1188085,1621876,0,67640773
341,14645512,29772773,20412527,1188085,1621876,0,67640773
342,14645512,29772773,20412527,1188085,1621876,0,67640773
343,14645512,29772773,20412527,1188085,1621876,0,67640773
344,14645512,29772773,20412527,1188085,1621876,0,67640773
345,14645512,29772773,20412527,1188085,1621876,0,67640773
346,14645512,29772773,20412527,1188085,1621876,0,67640773
347,14645512,29772773,20412527,1188085,1621876,0,67640773
348,14645512,29772773,20412527,1188085,1621876,0,67640773
349,14645512,29772773,20412527,1188085,1621876,0,67640773
350,14645512,29772773,20412527,1188085,1621876,0,67640773
351,14645512,29772773,20412527,1188085,1621876,0,67640773
352,14645512,29772773,20412527,1188085,1621876,0,67640773
353,14645512,29772773,20412527,1188085,1621876,0,67640773
354,14645512,29772773,20412527,1188085,1621876,0,67640773
355,14645512,29772773,20412527,1188085,1621876,0,67640773
356,14645512,29772773,20412527,1188085,1621876,0,67640773
357,14645512,29772773,20412527,1188085,1621876,0,67640773
